ClientOrderId,Symbol,Side,Quantity
C001,,SELL,258
C002,MSFT,BUY,-50
C003,MSFT,SELL,0
C004,AMZN,BUY,714
C005,MSFT,BUY,749
C006,GOOG,SELL,908
C007,GOOG,SELL,331
C008,TSLA,SELL,294
C009,TSLA,BUY,535
C010,GOOG,BUY,492
C011,TSLA,SELL,249
C012,AAPL,BUY,228
C013,AMZN,BUY,858
C014,AMZN,SELL,945
C015,AMZN,BUY,637
C016,GOOG,SELL,707
C017,GOOG,BUY,563
C018,AMZN,SELL,898
C019,MSFT,BUY,620
C020,TSLA,SELL,185
C021,TSLA,SELL,188
C022,MSFT,SELL,386
C023,TSLA,BUY,283
C024,AAPL,SELL,599
C025,GOOG,SELL,314
C026,TSLA,BUY,103
C027,GOOG,SELL,578
C028,TSLA,SELL,777
C029,GOOG,SELL,65
C030,AAPL,BUY,705
C031,AMZN,SELL,315
C032,AMZN,BUY,403
C033,TSLA,BUY,970
C034,AAPL,BUY,269
C035,TSLA,SELL,922
C036,AAPL,SELL,384
C037,AAPL,BUY,80
C038,AMZN,SELL,743
C039,GOOG,SELL,287
C040,AMZN,BUY,318
C041,MSFT,SELL,74
C042,MSFT,SELL,230
C043,AMZN,BUY,120
C044,GOOG,SELL,302
C045,AAPL,BUY,528
C046,TSLA,BUY,840
C047,MSFT,SELL,378
C048,AAPL,BUY,506
C049,AMZN,BUY,330
C050,TSLA,SELL,653
C051,AMZN,BUY,58
C052,MSFT,SELL,291
C053,MSFT,SELL,280
C054,TSLA,SELL,441
C055,MSFT,BUY,790
C056,GOOG,SELL,74
C057,MSFT,BUY,931
C058,TSLA,SELL,757
C059,AMZN,BUY,927
C060,TSLA,BUY,506
C061,GOOG,BUY,932
C062,AAPL,SELL,378
C063,GOOG,SELL,851
C064,AMZN,BUY,912
C065,GOOG,BUY,388
C066,AMZN,SELL,441
C067,AAPL,BUY,234
C068,AMZN,SELL,704
C069,GOOG,BUY,575
C070,AAPL,BUY,311
C071,MSFT,SELL,364
C072,GOOG,SELL,880
C073,MSFT,BUY,310
C074,TSLA,SELL,129
C075,AAPL,SELL,72
C076,MSFT,SELL,981
C077,AAPL,SELL,61
C078,GOOG,SELL,747
C079,MSFT,SELL,927
C080,TSLA,BUY,102
C081,GOOG,BUY,827
C082,TSLA,BUY,635
C083,AMZN,SELL,789
C084,TSLA,SELL,885
C085,AAPL,SELL,493
C086,MSFT,BUY,265
C087,AMZN,SELL,233
C088,MSFT,SELL,556
C089,TSLA,SELL,432
C090,MSFT,BUY,290
C091,AAPL,BUY,157
C092,AMZN,BUY,306
C093,AAPL,BUY,853
C094,AAPL,SELL,988
C095,TSLA,SELL,830
C096,TSLA,SELL,279
C097,MSFT,SELL,331
C098,AAPL,SELL,913
C099,TSLA,BUY,781
C100,TSLA,BUY,969
C101,AMZN,BUY,391
C102,TSLA,BUY,658
C103,MSFT,BUY,740
C104,AAPL,BUY,611
C105,AAPL,BUY,953
C106,MSFT,BUY,913
C107,AAPL,SELL,502
C108,AMZN,SELL,630
C109,AAPL,SELL,706
C110,AMZN,BUY,523
C111,TSLA,BUY,452
C112,MSFT,BUY,240
C113,TSLA,SELL,997
C114,AAPL,BUY,846
C115,TSLA,SELL,400
C116,TSLA,SELL,528
C117,AMZN,SELL,325
C118,GOOG,SELL,239
C119,GOOG,BUY,371
C120,TSLA,BUY,449
